trace_file, trace_type, algorithm, hits, misses, writes, filters, cache_size, cache_size_label, cache_size_label_type, hitrate, avg_pollution, time, perfect_hit
/Users/gkuwanto/Project/cacheus/Workload,gik,cacheus,24010920,1989080,1989080,0,32768,32768,size,92.35,,544.71,498808
/Users/gkuwanto/Project/cacheus/Workload,gik,lecar,23779513,2220487,2220487,0,32768,32768,size,91.46,,595.07,455291
/Users/daniar/Documents/EV-Store/datasets/criteo/workload/day-2/1MLOC/,gik,cacheus,24009628,1990372,1990372,0,32768,32768,size,92.34,,404.59,498732
/Users/daniar/Documents/EV-Store/datasets/criteo/workload/day-2/1MLOC/,gik,lecar,23786863,2213137,2213137,0,32768,32768,size,91.49,,412.52,456970
/Users/daniar/Documents/Github/cache-benchmark/inf-workload-traces/criteo_kaggle_all_mmap/inference=0.0022/,gik,cacheus,2308370,313704,313704,0,32768,32768,size,88.04,,46.26,32449
/Users/daniar/Documents/Github/cache-benchmark/inf-workload-traces/criteo_kaggle_all_mmap/inference=0.0022/,gik,lecar,2279708,342366,342366,0,32768,32768,size,86.94,,49.42,27573
/Users/daniar/Documents/Github/cache-benchmark/inf-workload-traces/criteo_kaggle_all_mmap/inference=0.0022/,gik,cacheus,4667934,576214,576214,0,32768,32768,size,89.01,,96.23,39463
/Users/daniar/Documents/Github/cache-benchmark/inf-workload-traces/criteo_kaggle_all_mmap/inference=0.0022/,gik,cacheus,4667934,576214,576214,0,32768,32768,size,89.01,,93.11,39463
/Users/daniar/Documents/Github/cache-benchmark/inf-workload-traces/criteo_kaggle_all_mmap/inference=0.0022/,gik,cacheus,4667934,576214,576214,0,32768,32768,size,89.01,,92.25,39463
/Users/daniar/Documents/Github/cache-benchmark/inf-workload-traces/criteo_kaggle_all_mmap/inference=0.0022/,gik,lecar,4581520,662628,662628,0,32768,32768,size,87.36,,85.7,30428
/Users/daniar/Documents/Github/cache-benchmark/inf-workload-traces/criteo_kaggle_all_mmap/inference=0.0022/,gik,cacheus,4391789,852359,852359,0,11950,11950,size,83.75,,107.22,18400
/Users/daniar/Documents/Github/cache-benchmark/inf-workload-traces/criteo_kaggle_all_mmap/inference=0.0022/,gik,lecar,4329251,914897,914897,0,11950,11950,size,82.55,,107.55,16687
/Users/daniar/Documents/Github/cache-benchmark/inf-workload-traces/criteo_kaggle_all_mmap/inference=0.0022/,gik,cacheus,4979651,264497,264497,0,215100,215100,size,94.96,,68.98,94388
/Users/daniar/Documents/Github/cache-benchmark/inf-workload-traces/criteo_kaggle_all_mmap/inference=0.0022/,gik,lecar,4910629,333519,333519,0,215100,215100,size,93.64,,70.46,60575
/Users/daniar/Documents/Github/cache-benchmark/inf-workload-traces/criteo_kaggle_all_mmap/inference=0.022/,gik,cacheus,49378350,3063286,3063286,0,215100,215100,size,94.16,,787.22,635671
/Users/daniar/Documents/Github/cache-benchmark/inf-workload-traces/criteo_kaggle_all_mmap/inference=0.005/,gik,cacheus,10415990,1502566,1502566,0,22375,22375,size,87.39,,213.79,67521
/Users/daniar/Documents/Github/cache-benchmark/inf-workload-traces/criteo_kaggle_all_mmap/inference=0.005/,gik,lecar,10255633,1662923,1662923,0,22375,22375,size,86.05,,226.91,58901
/Users/daniar/Documents/Github/cache-benchmark/inf-workload-traces/criteo_kaggle_all_mmap/inference=0.003/,gik,cacheus,6092652,1058440,1058440,0,15085,15085,size,85.2,,143.1,30632
/Users/daniar/Documents/Github/cache-benchmark/inf-workload-traces/criteo_kaggle_all_mmap/inference=0.003/,gik,lecar,6003855,1147237,1147237,0,15085,15085,size,83.96,,138.17,27209
/Users/daniar/Documents/Github/cache-benchmark/inf-workload-traces/criteo_kaggle_all_mmap/inference=0.004/,gik,cacheus,8243732,1291092,1291092,0,18748,18748,size,86.46,,185.38,48139
/Users/daniar/Documents/Github/cache-benchmark/inf-workload-traces/criteo_kaggle_all_mmap/inference=0.004/,gik,lecar,8110790,1424034,1424034,0,18748,18748,size,85.06,,175.18,41100
/Users/daniar/Documents/Github/cache-benchmark/inf-workload-traces/criteo_kaggle_all_mmap/inference=0.0026/,gik,cacheus,5239629,957991,957991,0,13534,13534,size,84.54,,125.56,24349
